Timestamp,faixa etária,escolaridade,profissão,disponibilidade,interesse,empresa
1/25/2019 8:29:17,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,Sábado de manhã (9h às 12h),python,java
1/25/2019 8:30:25,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Sábado de manhã (9h às 12h),php;python,delphi;java
1/25/2019 9:00:08,36 à 45 anos,Pós-graduação Completa,Gerente de Projetos/Produto,Sábado de manhã (9h às 12h),desenvolvimento ágil;git,java;sql
1/25/2019 9:13:45,36 à 45 anos,Pós-graduação Completa,Analista de Sistemas,"Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",desenvolvimento ágil;trello;git,php;no sql;enterprise architect
1/25/2019 9:27:34,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",data science;machine learning;tdd;cloud;ci;cd;data engineering;kanban;terminal;c#;go;javascript;python;no sql;desenvolvimento ágil;git,terminal;python;desenvolvimento ágil;jira;trello;git
1/27/2019 13:57:37,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",programação distribuída;machine learning;data science;terminal;c#;go;javascript;python;sql;no sql;desenvolvimento ágil;git,terminal;python;desenvolvimento ágil;jira;trello;git
1/28/2019 9:28:25,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",go;python,terminal;javascript;php;trello;git
1/28/2019 9:28:48,19 à 25 anos,Técnico Completo,Programador/Desenvolvedor,Sábado à tarde (14h às 17h),go,visual studio;android studio;kotlin;c#;sql;desenvolvimento ágil
1/28/2019 9:29:07,19 à 25 anos,Graduação Completa,Analista de Qualidade,"Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",javascript;python;selenium;desenvolvimento ágil;jira,delphi;javascript;php;sql;no sql;selenium;test complete;desenvolvimento ágil;jira;trello;git;svn
1/28/2019 9:29:32,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",data science;machine learning;processamento de linguagem natural;visão computacional;programação distribuída;big data;apache kafka;terminal;c#;go;javascript;python;sql;no sql;desenvolvimento ágil;git,ci;cd;terminal;python;desenvolvimento ágil;jira;trello;git
1/28/2019 9:30:06,26 à 35 anos,Pós-graduação Completa,Segurança da Informação,Palestras Online/Gravadas,terminal;c#;javascript;python;sql;jira;itil;infraestrutura;redes de computadores,
1/28/2019 9:30:29,19 à 25 anos,Cursando Graduação,Analista de Qualidade,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",c/c++;javascript;php;python;git;itil;redes de computadores,terminal;test complete;desenvolvimento ágil
1/28/2019 9:30:29,19 à 25 anos,Cursando Pós-graduação,Programador/Desenvolvedor,Sábado de manhã (9h às 12h),python,terminal;java;desenvolvimento ágil;git
1/28/2019 9:31:20,26 à 35 anos,Cursando Pós-graduação,Analista/Técnico de Suporte,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Palestras Online/Gravadas",c#;go;desenvolvimento ágil;itil,delphi;javascript;php;sql;no sql;test complete;desenvolvimento ágil;trello;svn;itil;infraestrutura;redes de computadores
1/28/2019 9:43:59,19 à 25 anos,Graduação Completa,Analista/Técnico de Suporte,"Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",python,terminal;sql;trello;infraestrutura;redes de computadores
1/28/2019 9:45:19,26 à 35 anos,Graduação Completa,Gerente de Projetos/Produto,"Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",tdd;ci;cd;machine learning;c/c++;go;javascript;php;python;no sql;selenium;desenvolvimento ágil;trello;git,terminal;javascript;php;sql;no sql;desenvolvimento ágil;trello;git
1/28/2019 9:48:33,Até 18 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",apache selenium;elk;gestão de projetos;boas práticas para desenvolvimento;automatização de tarefas;testes;kernel;linux;backend;frontend;terminal;c/c++;c#;go;javascript;python;selenium;test complete;enterprise architect;git;itil;infraestrutura;redes de computadores,terminal;c/c++;javascript;python;desenvolvimento ágil;svn;redes de computadores
1/28/2019 9:49:07,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Palestras Online/Gravadas",java;javascript;python;selenium;enterprise architect;desenvolvimento ágil;git,oracle forms;reports;java;javascript;sql;selenium;svn
1/28/2019 9:52:08,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",terminal;c/c++;python;no sql;selenium;test complete;git;infraestrutura,terminal;c#;java;python;sql;desenvolvimento ágil;jira;git
1/28/2019 9:54:12,36 à 45 anos,Pós-graduação Completa,Gerente de Projetos/Produto,"Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h)",python;no sql;selenium;git,c#;javascript;sql;desenvolvimento ágil;trello
1/28/2019 9:58:22,19 à 25 anos,Cursando Pós-graduação,Analista de Sistemas,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h)",kanban;jira;git,terminal;c#;javascript;php;python;sql;no sql;trello;svn;itil
1/28/2019 10:17:56,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",c/c++;python;sql;no sql,java;javascript;desenvolvimento ágil;jira;git
1/28/2019 10:32:22,26 à 35 anos,Pós-graduação Completa,Analista de Sistemas,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",c/c++;javascript;python,c#;delphi;svn
1/28/2019 10:43:30,46 à 55 anos,Pós-graduação Completa,Coordenador de Desenvolvimento,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",aws;c/c++;delphi;python;no sql;selenium;desenvolvimento ágil;jira;trello;git;itil,aws;c#;java;javascript;php;sql;test complete;enterprise architect;svn;infraestrutura;redes de computadores
1/28/2019 10:53:13,26 à 35 anos,Pós-graduação Completa,Analista de Qualidade,"Segunda-feira à noite (19h às 22h), Palestras Online/Gravadas",testes automatizados de performance;teste de carga;teste de stress;testes de segurança;terminal;go;python;no sql,ruby;testes de api;aws;jenkins;c#;javascript;sql;selenium;test complete;desenvolvimento ágil;git
1/28/2019 10:57:40,26 à 35 anos,Técnico Completo,Analista/Técnico de Suporte,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h)",php;sql,sql
1/28/2019 10:59:04,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h)",go,c/c++;python;jira;trello;git;redes de computadores
1/28/2019 11:06:34,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Palestras Online/Gravadas,c/c++;c#;go;python,delphi;java;javascript;sql;desenvolvimento ágil;git;svn;infraestrutura;redes de computadores
1/28/2019 11:07:00,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h)",git,javascript;php;sql
1/28/2019 12:14:10,26 à 35 anos,Pós-graduação Completa,Analista de Sistemas,"Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",go;python;no sql;desenvolvimento ágil,c/c++;javascript;php;sql;git;svn
1/28/2019 13:04:56,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",c/c++;go;java,terminal;java;javascript;php;python;sql;no sql;jira;trello;git;infraestrutura
1/28/2019 13:10:50,19 à 25 anos,Cursando Graduação,Desempregado,"Segunda-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",c/c++;c#;java;sql;infraestrutura;redes de computadores,
1/28/2019 13:26:50,19 à 25 anos,Técnico Completo,Programador/Desenvolvedor,Palestras Online/Gravadas,criptomoeda;programação distribuída;rust;containers;segurança da informação,jetbrains rider;sql server;ci;cd;net core;linux;azure;containers;terminal;c#;javascript;sql;no sql;desenvolvimento ágil;jira;git
1/28/2019 13:54:31,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",desenvolvimento mobile;c#;go;python;no sql,
1/28/2019 14:07:34,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,Sábado de manhã (9h às 12h),,tdd;ci;cd;aws;azure;terraform;terminal;java;javascript;sql;no sql;desenvolvimento ágil;jira;trello;git;svn;itil;infraestrutura
1/28/2019 14:43:52,26 à 35 anos,Pós-graduação Completa,Analista de Qualidade,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",terminal;javascript;python;no sql;selenium;test complete;desenvolvimento ágil;jira,terminal;c#;delphi;javascript;python;sql;selenium;test complete;desenvolvimento ágil;trello;git
1/28/2019 14:47:44,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Quarta-feira à noite (19h às 22h), Palestras Online/Gravadas",terminal;c#;javascript;php;python;sql,terminal;c#;javascript;python;sql;trello;git
1/28/2019 14:52:18,36 à 45 anos,Pós-graduação Completa,Analista de Sistemas,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h)",python,java;javascript;php;sql
1/28/2019 14:58:54,19 à 25 anos,Graduação Completa,Analista de Qualidade,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",delphi;java,delphi;java
1/28/2019 14:59:41,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h)",python;no sql,delphi;sql;jira;git
1/28/2019 15:00:48,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",,terminal;java;javascript;selenium;test complete;desenvolvimento ágil;jira;git;svn;itil;infraestrutura
1/28/2019 15:01:52,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",terminal;java;javascript;php;no sql,terminal;java;sql;desenvolvimento ágil;jira;git
1/28/2019 15:05:26,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Quarta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",java;javascript;desenvolvimento ágil;trello;git,java;javascript;sql;no sql;desenvolvimento ágil;jira;git
1/28/2019 15:06:02,19 à 25 anos,Técnico Completo,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",enterprise architect,java;javascript;sql;no sql;desenvolvimento ágil;jira;git
1/28/2019 15:06:22,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",terminal;go;java;python;sql;no sql;enterprise architect;desenvolvimento ágil;jira;git;itil;infraestrutura;redes de computadores,kubernetes;cloud;aws;linux;ansible;terraform;flask;docker;nginx;terminal;python;sql;no sql;jira;git;infraestrutura;redes de computadores
1/28/2019 15:07:42,19 à 25 anos,Graduação Completa,Programador/Desenvolvedor,Terça-feira à noite (19h às 22h),c/c++;c#;delphi;java;javascript;php;python;sql;no sql;test complete;enterprise architect;desenvolvimento ágil;jira;git;infraestrutura;redes de computadores,delphi;java;sql;jira;git
1/28/2019 15:10:41,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h)",arquitetura de software;c/c++;c#;java;sql;no sql;desenvolvimento ágil;jira;git;infraestrutura,typescript;java;javascript;sql;desenvolvimento ágil;jira;git
1/28/2019 15:15:13,19 à 25 anos,Graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Palestras Online/Gravadas",terminal;java;javascript;sql;desenvolvimento ágil;git,java;sql;desenvolvimento ágil;jira;git
1/28/2019 15:16:18,19 à 25 anos,Graduação Completa,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",python,java;javascript;sql;desenvolvimento ágil;jira;git
1/28/2019 15:19:22,19 à 25 anos,Cursando Graduação,Analista de Qualidade,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",c#;go;php;python;no sql;enterprise architect;itil;redes de computadores,java;javascript;sql;selenium;test complete;desenvolvimento ágil;jira;trello;git;svn;infraestrutura
1/28/2019 15:20:41,26 à 35 anos,Pós-graduação Completa,Analista de Qualidade,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",,delphi;java;javascript;sql;selenium;desenvolvimento ágil;jira;trello;git;svn;redes de computadores
1/28/2019 15:21:00,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",java;javascript;python;desenvolvimento ágil;jira;git,java;javascript;sql;desenvolvimento ágil;jira;git
1/28/2019 15:21:15,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",no sql;enterprise architect;desenvolvimento ágil,c#;java;javascript;sql;git;svn
1/28/2019 15:22:09,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Palestras Online/Gravadas",javascript;php;python;no sql,delphi;java;javascript;php;sql;git;itil
1/28/2019 15:22:16,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",terminal;desenvolvimento ágil;git;infraestrutura;redes de computadores,uipath;c#;sql;no sql;git
1/28/2019 15:23:01,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Palestras Online/Gravadas",go;javascript;php;python;git,delphi;java;sql;desenvolvimento ágil;jira;trello;git;svn
1/28/2019 15:25:00,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,"Segunda-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",c/c++;c#;git;itil,java;javascript;sql;no sql;infraestrutura;redes de computadores
1/28/2019 15:26:04,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Sexta-feira à noite (19h às 22h),,java;sql;desenvolvimento ágil;jira;trello;git
1/28/2019 15:27:26,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",gestão de projetos pessoais;desenvolvimento ágil;trello,c/c++;python;sql;git
1/28/2019 15:27:47,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,"Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",javascript;python,sql;selenium;itil;infraestrutura;redes de computadores
1/28/2019 15:28:52,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",c/c++;c#;delphi;javascript;sql;svn;infraestrutura,c#;java
1/28/2019 15:29:04,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Palestras Online/Gravadas",php;python;no sql;selenium;test complete;infraestrutura;redes de computadores,tdd;cucumber;protactor;typescript;terminal;c#;sql;desenvolvimento ágil;git
1/28/2019 15:33:58,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Palestras Online/Gravadas,no sql,javascript;sql;git
1/28/2019 15:36:27,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Sábado de manhã (9h às 12h),terminal;c/c++;c#;delphi;php;python;no sql;test complete;jira;git;infraestrutura;redes de computadores,delphi;java;javascript;sql;trello
1/28/2019 15:39:27,19 à 25 anos,Cursando Graduação,Testador,"Terça-feira à noite (19h às 22h), Palestras Online/Gravadas",java;sql;selenium;test complete;redes de computadores,sql;jira
1/28/2019 15:45:41,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado à tarde (14h às 17h), Palestras Online/Gravadas",machine learning;kotlin,flutter;dart;docker;kubernetes;go;java;sql;desenvolvimento ágil;git
1/28/2019 15:49:27,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h)",terminal;c/c++;c#;go;javascript;python;sql;no sql;git;redes de computadores,terminal;javascript;sql;git;redes de computadores
1/28/2019 15:52:31,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,Quinta-feira à noite (19h às 22h),,delphi;java;javascript;sql;desenvolvimento ágil;jira;git;svn
1/28/2019 15:54:03,36 à 45 anos,Cursando Graduação,Analista de Sistemas,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",go;java;javascript;python;no sql;desenvolvimento ágil;itil,java;javascript;sql;jira;git
1/28/2019 16:01:26,26 à 35 anos,Pós-graduação Completa,Analista de Sistemas,Palestras Online/Gravadas,c#;go;python,java;javascript;sql;desenvolvimento ágil;jira;git
1/28/2019 16:01:44,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,Palestras Online/Gravadas,,terminal;go;python;desenvolvimento ágil;jira;trello;git;infraestrutura;redes de computadores
1/28/2019 16:12:00,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",,c#;javascript;sql
1/28/2019 16:24:18,26 à 35 anos,Cursando Graduação,Testador,Não tenho interesse,selenium;test complete,java;sql;jira;git
1/28/2019 16:24:56,19 à 25 anos,Graduação Completa,Programador/Desenvolvedor,Palestras Online/Gravadas,go;python;no sql,ruby;extjs;terminal;javascript;sql;trello;git
1/28/2019 16:26:30,36 à 45 anos,Cursando Graduação,Não trabalho na área,"Sábado de manhã (9h às 12h), Palestras Online/Gravadas",vscode;postgresql;criptomoeda;maven;spring;react;c/c++;go;java;javascript;python;sql;no sql;desenvolvimento ágil;trello;git;infraestrutura;redes de computadores,trello
1/28/2019 16:49:36,26 à 35 anos,Cursando Graduação,Testador,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h)",java;javascript;sql;no sql;infraestrutura,selenium;test complete;desenvolvimento ágil;jira;git
1/28/2019 17:10:28,19 à 25 anos,Graduação Completa,Analista de Sistemas,"Segunda-feira à noite (19h às 22h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",,c#;javascript;sql;no sql;desenvolvimento ágil;jira;git
1/28/2019 17:43:53,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",python;desenvolvimento ágil,delphi;javascript;php;sql;no sql;trello;git;svn
1/28/2019 17:44:01,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",javascript;php;git,delphi;javascript;php;sql;git;svn
1/28/2019 17:52:49,Até 18 anos,Cursando Graduação,Estudante,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",java;python;no sql;desenvolvimento ágil;infraestrutura;redes de computadores,javascript;php;sql;git
1/28/2019 17:58:22,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Quinta-feira à noite (19h às 22h),c/c++;c#;desenvolvimento ágil,terminal;c/c++;c#;test complete;desenvolvimento ágil
1/28/2019 17:58:46,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Palestras Online/Gravadas",c#;jira;git,delphi;sql;test complete;desenvolvimento ágil;trello
1/28/2019 18:12:34,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",ruby;google cloud;docker;kubernetes,terminal;go;java;javascript;python;sql;no sql;selenium;test complete;desenvolvimento ágil;trello;git
1/28/2019 18:15:28,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Sábado de manhã (9h às 12h),terminal;c/c++,java;javascript;enterprise architect;git
1/28/2019 18:16:26,36 à 45 anos,Pós-graduação Completa,Analista de Sistemas,Palestras Online/Gravadas,aws;kubernetes;docker;no sql;infraestrutura;redes de computadores,c#;java;python;sql;selenium;desenvolvimento ágil;jira;git;itil;infraestrutura;redes de computadores
