Timestamp,faixa etária,escolaridade,profissão,disponibilidade,interesse,empresa
1/28/2019 18:17:34,26 à 35 anos,Graduação Incompleta,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",elk;python,terminal;go;java;javascript;selenium;jira;git
1/28/2019 18:26:18,26 à 35 anos,Cursando Graduação,Analista/Técnico de Suporte,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",c/c++,
1/28/2019 18:27:34,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Palestras Online/Gravadas",go,terminal;java;javascript;no sql;git
1/28/2019 19:14:30,Até 18 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",,visual studio;xamarin;android studio;c/c++;c#;java;php;sql;desenvolvimento ágil;jira;trello;git
1/28/2019 19:15:47,19 à 25 anos,Cursando Graduação,Testador,"Segunda-feira à noite (19h às 22h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",selenium;test complete;desenvolvimento ágil;infraestrutura;redes de computadores,html5;testlink;delphi;java;sql
1/28/2019 20:00:24,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Quarta-feira à noite (19h às 22h), Palestras Online/Gravadas",java;javascript;php;sql;no sql;git,delphi;trello
1/28/2019 20:21:49,26 à 35 anos,Cursando Graduação,Testador,"Segunda-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",terminal;java;python,javascript;sql;selenium;desenvolvimento ágil;jira;git
1/28/2019 20:31:31,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",terminal;go,c#;javascript
1/28/2019 20:37:19,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",cobol,c#;java;javascript;jira;git
1/28/2019 20:57:57,26 à 35 anos,Ensino Médio Completo,Programador/Desenvolvedor,Segunda-feira à noite (19h às 22h),,java;javascript;php;python;sql;no sql;desenvolvimento ágil;jira;trello;git
1/28/2019 21:15:46,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Quarta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",machine learning;r;c/c++;c#;go;php;python;enterprise architect,terminal;java;javascript;sql;no sql;desenvolvimento ágil;trello;git;svn
1/28/2019 21:24:56,36 à 45 anos,Pós-graduação Completa,Cio,"Segunda-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Palestras Online/Gravadas",ux based projects,gestão de projetos;terminal;java;php;sql;enterprise architect;desenvolvimento ágil;svn;itil;infraestrutura;redes de computadores
1/28/2019 22:55:59,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h)",go;python;desenvolvimento ágil;git,java;javascript;sql;desenvolvimento ágil;trello;git;svn
1/28/2019 23:14:16,19 à 25 anos,Ensino Médio Completo,Programador/Desenvolvedor,"Sábado à tarde (14h às 17h), Palestras Online/Gravadas",xcode;c#;java;javascript;php;sql;no sql,java;javascript;php;sql;no sql
1/28/2019 23:24:05,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",terminal;c/c++;c#;delphi;go;java;javascript;php;python;selenium;test complete;enterprise architect;desenvolvimento ágil;jira;trello;git;svn;itil,sql;infraestrutura;redes de computadores
1/29/2019 0:56:04,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,"Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Palestras Online/Gravadas",,c#;java;javascript;python;sql;no sql;git;itil
1/29/2019 1:02:13,26 à 35 anos,Pós-graduação Completa,Analista/Técnico de Suporte,"Sábado à tarde (14h às 17h), Palestras Online/Gravadas",git,javascript;php;sql;svn;itil;infraestrutura
1/29/2019 1:47:39,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,Não tenho interesse,terminal;java;javascript;python;sql,sql;desenvolvimento ágil;trello
1/29/2019 6:47:39,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Segunda-feira à noite (19h às 22h),go;java;python,java;sql;desenvolvimento ágil;jira;git
1/29/2019 7:10:12,26 à 35 anos,Pós-graduação Completa,Analista de Sistemas,"Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",graphql;haskell;desenvolvimento ágil,programação funcional;javascript;php;sql;no sql;enterprise architect;desenvolvimento ágil;trello;git;svn
1/29/2019 7:49:20,19 à 25 anos,Graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",kotlin;c#;go;javascript;php;python;no sql,delphi;java;sql;desenvolvimento ágil;jira;trello;git;svn;infraestrutura;redes de computadores
1/29/2019 8:00:45,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Quarta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h)",angular;terminal;python;no sql;infraestrutura;redes de computadores,terminal;java;javascript;sql;desenvolvimento ágil;jira;git;svn
1/29/2019 8:31:24,26 à 35 anos,Graduação Completa,Analista de Qualidade,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",,terminal;javascript;sql;selenium;desenvolvimento ágil;jira;git;infraestrutura;redes de computadores
1/29/2019 8:42:54,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",go;no sql,c#;javascript;python;sql;selenium;desenvolvimento ágil;trello;git
1/29/2019 8:50:20,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,Palestras Online/Gravadas,watson;filemaker;unity;desenvolvimento mobile;swift;python;java;javascript,trello
1/29/2019 8:59:35,26 à 35 anos,Cursando Graduação,Analista/Técnico de Suporte,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",c#;java;javascript;php;python;no sql;git,
1/29/2019 9:26:07,19 à 25 anos,Graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h)",node;node;pwa;javascript;no sql;selenium;git,delphi;javascript;php;sql;trello;git
1/29/2019 9:29:40,19 à 25 anos,Ensino Médio Completo,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",programação distribuída;inteligência artificial;go;no sql,c/c++;javascript;python;svn
1/29/2019 9:30:10,26 à 35 anos,Pós-graduação Completa,Coordenador de Desenvolvimento,"Terça-feira à noite (19h às 22h), Palestras Online/Gravadas",go,terminal;java;javascript;python;sql;no sql;jira;git
1/29/2019 10:39:40,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Palestras Online/Gravadas,terminal;java;javascript;python;sql;no sql;desenvolvimento ágil;git,terminal;java;javascript;python;sql;no sql;desenvolvimento ágil;git
1/29/2019 10:42:06,26 à 35 anos,Graduação Completa,Analista de Sistemas,Quarta-feira à noite (19h às 22h),terminal;c#;delphi;java;sql;desenvolvimento ágil;jira;itil;infraestrutura;redes de computadores,terminal;c#;delphi;java;sql;desenvolvimento ágil;jira;itil;infraestrutura;redes de computadores
1/29/2019 10:49:56,26 à 35 anos,Cursando Pós-graduação,Programador/Desenvolvedor,Terça-feira à noite (19h às 22h),python;no sql,java;javascript;sql;desenvolvimento ágil;jira;git
1/29/2019 11:01:01,26 à 35 anos,Graduação Completa,Analista de Qualidade,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h)",typescript;go;java,javascript;sql;selenium;desenvolvimento ágil;jira;trello;git
1/29/2019 11:18:19,26 à 35 anos,Graduação Completa,Pesquisador,"Segunda-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",,aws;elk;lua;linux;garbage collectors;block chain;chat bots;iot;arduino;raspberry pi;processamento de linguagem natural;rasa npl;impressoras 3d;impressão 3d;terminal;c/c++;go;java;javascript;python;sql;no sql;git;infraestrutura;redes de computadores
1/29/2019 11:24:52,26 à 35 anos,Ensino Médio Completo,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",terminal;c/c++;go;javascript;python;no sql;selenium;test complete;desenvolvimento ágil;infraestrutura;redes de computadores,javascript;php;sql;desenvolvimento ágil;jira;git
1/29/2019 15:57:30,36 à 45 anos,Pós-graduação Completa,Arquiteto de software,Palestras Online/Gravadas,,terminal;c/c++;c#;delphi;go;java;javascript;php;python;sql;no sql;selenium;test complete;enterprise architect;desenvolvimento ágil;jira;trello;git;svn;itil;infraestrutura;redes de computadores
1/29/2019 17:17:56,19 à 25 anos,Cursando Graduação,UX Designer,Sábado de manhã (9h às 12h),,javascript;desenvolvimento ágil;jira;trello;git
1/29/2019 22:48:00,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,Palestras Online/Gravadas,python;no sql,sql
1/30/2019 16:16:27,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",etl;go;test complete;desenvolvimento ágil,c#;java;javascript;sql;desenvolvimento ágil;jira;trello;git;svn
1/31/2019 8:16:33,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,"Sexta-feira à noite (19h às 22h), Sábado à tarde (14h às 17h)",c#;javascript;sql;redes de computadores,sql;infraestrutura
1/31/2019 11:39:40,19 à 25 anos,Cursando Graduação,Analista de Sistemas,"Sábado de manhã (9h às 12h), Palestras Online/Gravadas",c/c++;c#;go;java;desenvolvimento ágil,delphi;php;sql;git
1/31/2019 15:02:05,36 à 45 anos,Ensino Médio Completo,Desempregado,Palestras Online/Gravadas,,python
1/31/2019 17:07:36,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,Sábado de manhã (9h às 12h),terminal;java;javascript;test complete;git,terminal;java;javascript;git
1/31/2019 18:58:23,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",python;no sql,c/c++;test complete
2/1/2019 12:30:30,19 à 25 anos,Graduação Completa,Arquiteto de software,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",terminal;python;no sql,terminal;java;javascript;python;sql;no sql;desenvolvimento ágil;jira;git
2/1/2019 13:15:03,26 à 35 anos,Cursando Graduação,Analista de Qualidade,"Terça-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",sql;no sql;selenium;test complete;enterprise architect;desenvolvimento ágil,c#;enterprise architect;desenvolvimento ágil;jira;trello
2/1/2019 13:36:23,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,Palestras Online/Gravadas,c/c++;c#;java;javascript;php;infraestrutura;redes de computadores,sql;jira;trello
2/1/2019 14:59:06,36 à 45 anos,Cursando Graduação,Programador/Desenvolvedor,"Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",desenvolvimento ágil,terminal;c#;java;javascript;php;python;sql;git;redes de computadores
2/3/2019 10:28:47,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h)",arquitetura orientada a eventos;big data;python;no sql;trello,rabbitmq;gitlab;terminal;java;sql;desenvolvimento ágil;jira;git
2/4/2019 8:06:04,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",terminal;java;javascript;python;sql;no sql;desenvolvimento ágil;jira;trello;git;svn,delphi;java;javascript;sql;desenvolvimento ágil;git;svn
2/4/2019 9:48:19,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,"Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",sql;infraestrutura;redes de computadores,sql;trello;redes de computadores
2/12/2019 16:09:27,Até 18 anos,Ensino Médio Completo,Auxiliar financeiro,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",c/c++;c#;delphi;java;javascript;python;infraestrutura;redes de computadores,
2/15/2019 8:26:57,19 à 25 anos,Graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",,terminal;c/c++;delphi;java;javascript;sql;desenvolvimento ágil;jira;git
2/15/2019 8:29:12,46 à 55 anos,Cursando Graduação,Analista de Qualidade,Palestras Online/Gravadas,,testlink;mantis;microsoft test manager;selenium;test complete;trello
2/15/2019 8:32:17,26 à 35 anos,Graduação Completa,Arquiteto de software,"Segunda-feira à noite (19h às 22h), Sábado de manhã (9h às 12h)",selenium;itil;infraestrutura,c#;java;javascript;sql;no sql;trello;git
2/15/2019 8:34:14,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado à tarde (14h às 17h), Palestras Online/Gravadas",react;terminal;java;javascript;python;sql;no sql;desenvolvimento ágil;trello;git;redes de computadores,terminal;java;javascript;sql;desenvolvimento ágil;jira;git;redes de computadores
2/15/2019 8:38:57,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",go;javascript,java;sql;desenvolvimento ágil;jira;git
2/15/2019 8:39:38,26 à 35 anos,Pós-graduação Completa,Arquiteto de software,"Sábado de manhã (9h às 12h), Palestras Online/Gravadas",aws;spark;r;devops;c/c++;c#;go;python,java;javascript;sql;no sql;desenvolvimento ágil;trello;git
2/15/2019 8:39:47,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h)",javascript;no sql,java;javascript;no sql;jira;git;infraestrutura
2/15/2019 8:43:06,26 à 35 anos,Pós-graduação Completa,Analista de Sistemas,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h)",linguagens de frontend;angular;react;javascript;python;no sql,delphi;java;sql;desenvolvimento ágil;jira;git
2/15/2019 8:48:49,36 à 45 anos,Pós-graduação Completa,Analista de Sistemas,Palestras Online/Gravadas,kotlin;linux;go;python,java;sql;desenvolvimento ágil;jira;git
2/15/2019 8:50:56,26 à 35 anos,Ensino Médio Completo,Analista de Qualidade,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h)",,java;php;sql
2/15/2019 8:56:29,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",nodejs;spark;c/c++;python;enterprise architect,terminal;c#;java;javascript;php;sql;desenvolvimento ágil;jira;git
2/15/2019 9:08:02,19 à 25 anos,Graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",,java;javascript;desenvolvimento ágil;jira;trello;git
2/15/2019 9:15:49,26 à 35 anos,Pós-graduação Completa,Arquiteto de software,Quarta-feira à noite (19h às 22h),go;javascript;no sql,terminal;delphi;java;sql;jira;trello;git;svn
2/15/2019 9:17:41,26 à 35 anos,Graduação Completa,Analista de DevOps,"Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",,aws;ci;cd;terminal;c#;java;javascript;python;sql;no sql;desenvolvimento ágil;jira;git;infraestrutura;redes de computadores
2/15/2019 9:19:33,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado à tarde (14h às 17h)",terminal;go;java;javascript;python;sql;git;redes de computadores,terminal;java;javascript;sql;desenvolvimento ágil;jira;git;redes de computadores
2/15/2019 9:19:55,26 à 35 anos,Ensino Médio Completo,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",c#;enterprise architect;trello;itil,terminal;javascript;php;sql;no sql;desenvolvimento ágil;git
2/15/2019 9:22:31,26 à 35 anos,Graduação Completa,Analista de Sistemas,"Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",docker;kubernetes;terminal;go;python;trello,terminal;desenvolvimento ágil;jira;git;infraestrutura;redes de computadores
2/15/2019 9:33:52,36 à 45 anos,Cursando Graduação,Analista de Data Center,Sábado de manhã (9h às 12h),c/c++;c#;java;python;sql;selenium;git,redes de computadores
2/15/2019 9:42:01,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",c/c++;php;python,java;javascript;sql;jira;git
2/15/2019 9:42:29,19 à 25 anos,Cursando Graduação,Analista de Sistemas,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",no sql,c/c++;c#;delphi;javascript;php;sql;trello
2/15/2019 9:49:54,26 à 35 anos,Cursando Pós-graduação,Analista de Sistemas,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h)",python;no sql;enterprise architect,delphi;java;javascript;sql;desenvolvimento ágil;jira;git
2/15/2019 9:54:51,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",no sql,java;javascript;python;sql;desenvolvimento ágil;jira;git
2/15/2019 9:56:16,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",no sql;selenium;test complete;jira,terminal;java;javascript;python;sql;desenvolvimento ágil;git
2/15/2019 10:08:24,26 à 35 anos,Graduação Completa,Analista de Sistemas,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",elixir;aws;micro serviços;criptomoeda;devops;tdd;elk;bi;kanban;terminal;c/c++;c#;php;python;selenium;test complete;infraestrutura;redes de computadores,go;java;javascript;sql;no sql;enterprise architect;desenvolvimento ágil;jira;trello;git;svn
2/15/2019 10:09:34,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Quinta-feira à noite (19h às 22h), Sábado à tarde (14h às 17h)",react;aws;javascript;python;desenvolvimento ágil,vue;mongodb;azure;java;javascript;no sql;desenvolvimento ágil;jira;git
2/15/2019 10:12:55,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h)",devops,terminal;go;java;javascript;php;python;no sql;selenium;git;svn;infraestrutura
2/15/2019 10:15:33,19 à 25 anos,Cursando Graduação,Estagiário,"Quarta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",terminal;go;no sql;infraestrutura;redes de computadores,python;svn
2/15/2019 10:22:52,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",selenium;test complete;infraestrutura;redes de computadores,java;javascript;desenvolvimento ágil;jira;git
2/15/2019 10:56:17,26 à 35 anos,Graduação Completa,Analista de Sistemas,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Palestras Online/Gravadas",c#;go;python;no sql;selenium,java;javascript;sql;desenvolvimento ágil;jira;trello;git
2/15/2019 10:56:22,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",java;javascript,sql;jira
2/15/2019 11:00:14,26 à 35 anos,Pós-graduação Completa,Testador,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",java,java;sql;selenium;jira;trello;git;infraestrutura;redes de computadores
2/15/2019 11:05:46,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,Quinta-feira à noite (19h às 22h),go;python;no sql,java;javascript
2/15/2019 11:05:48,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Palestras Online/Gravadas",kotlin;webstorm;vscode;intellj;terminal;go;no sql,java;javascript;sql;desenvolvimento ágil;jira;trello;git;infraestrutura;redes de computadores
2/15/2019 11:23:26,19 à 25 anos,Graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h)",c/c++;c#;test complete,java;javascript;desenvolvimento ágil;jira;git
2/15/2019 12:15:36,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",rust;go;python;no sql,delphi;java;javascript;sql;desenvolvimento ágil;jira;git
2/15/2019 13:13:04,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,Sábado à tarde (14h às 17h),terminal;redes de computadores,terminal;infraestrutura
2/15/2019 14:32:48,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,Não tenho interesse,,terminal;c#;java;javascript;php;sql;desenvolvimento ágil;jira;git
2/15/2019 15:29:49,26 à 35 anos,Técnico Completo,Estagiário,Palestras Online/Gravadas,python,java;javascript;sql;no sql;selenium;jira;git
2/16/2019 14:27:23,26 à 35 anos,Ensino Médio Completo,Desempregado,"Sexta-feira à noite (19h às 22h), Palestras Online/Gravadas",terminal;c#;javascript;python;sql;test complete;git,
2/18/2019 8:47:06,19 à 25 anos,Pós-graduação Completa,Analista de Sistemas,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",aws;terminal;go;java;javascript;python;no sql;jira;trello;git,terminal;java;javascript;python;sql;jira;trello;git
